nr	column_name	column_number	type	description	explanation
1	NAnsw	1			
2	File	2			
3	Key	3			
4	Quest	4			
5	Discrepancies?	5			
6	IdxCorrect	6			
7	AnsKeys	7			
8	Answer1	8			
9	Answer2	9			
10	Answer3	10			
11	Other	11			
