Open data score,Society publisher
0.2552631578947368,True
0.19631578947368422,True
0.19631578947368422,True
0.20421052631578948,True
0.11210526315789474,True
0.2068421052631579,True
0.19631578947368422,True
0.29263157894736846,True
0.19631578947368422,True
0.24631578947368418,True
0.22263157894736843,True
0.31000000000000005,True
0.20421052631578948,True
0.20421052631578948,True
0.1394736842105263,True
0.17,True
0.17,True
0.17,True
0.17,True
0.17,True
0.17,True
0.17,True
0.18736842105263157,True
0.21368421052631578,True
0.17,True
0.17,True
0.17,True
0.17,True
0.17,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.2131578947368421,True
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.14368421052631578,False
0.2136842105263158,False
0.2136842105263158,False
0.18736842105263157,False
0.2136842105263158,False
0.19631578947368422,False
0.21736842105263157,False
0.2136842105263158,False
0.2136842105263158,False
0.3663157894736842,False
0.3663157894736842,False
0.3663157894736842,False
0.3663157894736842,False
0.3663157894736842,False
0.3663157894736842,False
0.3663157894736842,False
0.14736842105263157,True
0.15263157894736842,True
0.14736842105263157,True
0.14736842105263157,True
0.15263157894736842,True
0.15263157894736842,True
0.14736842105263157,True
0.15263157894736842,True
0.15263157894736842,True
0.14736842105263157,True
0.15263157894736842,True
0.15263157894736842,True
0.15263157894736842,True
0.15263157894736842,True
0.15263157894736842,True
0.21736842105263157,True
0.3094736842105263,True
0.3094736842105263,True
0.3094736842105263,True
0.013157894736842105,True
0.3094736842105263,True
0.3094736842105263,True
0.3094736842105263,True
0.3094736842105263,True
0.3005263157894737,False
0.42000000000000004,False
0.3005263157894737,False
0.3005263157894737,False
0.37578947368421056,False
0.42000000000000004,False
0.3005263157894737,False
0.3005263157894737,False
0.3005263157894737,False
0.3005263157894737,False
0.3005263157894737,False
0.37578947368421056,False
0.3005263157894737,False
0.3005263157894737,False
0.3005263157894737,False
0.23157894736842108,True
0.2421052631578947,True
0.23157894736842108,True
0.23157894736842108,True
0.2421052631578947,True
0.2421052631578947,True
0.23157894736842108,True
0.2421052631578947,True
0.23157894736842108,True
0.19105263157894736,False
0.19105263157894736,False
0.17526315789473684,False
0.19105263157894736,False
0.19105263157894736,False
0.19105263157894736,False
0.19105263157894736,False
0.21736842105263157,False
0.19105263157894736,False
0.3494736842105263,True
0.3494736842105263,True
0.33631578947368423,True
0.3494736842105263,True
0.3494736842105263,True
0.3847368421052632,True
0.33631578947368423,True
0.3494736842105263,True
0.3494736842105263,True
0.34421052631578947,False
0.3178947368421053,False
0.29157894736842105,False
0.18947368421052632,False
0.46684210526315784,False
0.46684210526315784,False
0.3178947368421053,False
0.541578947368421,False
0.46684210526315784,False
0.42315789473684207,False
0.3178947368421053,False
0.013157894736842105,False
0.24368421052631578,False
0.24368421052631578,False
0.039473684210526314,False
0.28210526315789475,False
0.24368421052631578,False
0.22263157894736843,False
0.3136842105263158,False
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.24368421052631578,False
0.14368421052631578,False
0.14368421052631578,False
0.17,False
0.14368421052631578,False
0.14368421052631578,False
0.14368421052631578,False
0.14368421052631578,False
0.17,False
0.14368421052631578,False
0.14368421052631578,False
0.14368421052631578,False
0.17,False
0.17,False
0.17,False
0.3005263157894737,False
0.34421052631578947,True
0.7610526315789473,False
