Inconsitency,Open data score
0.7205882352941176,0.21221052631578943
0.9033613445378151,0.1743609022556391
0.9786096256684492,0.21315789473684213
0.7058823529411765,0.24368421052631575
0.7394957983193278,0.2014619883040936
0.5294117647058824,0.36631578947368426
0.8823529411764706,0.15087719298245614
0.9084967320261438,0.2663157894736842
0.5490196078431373,0.3264912280701754
0.8823529411764706,0.23625730994152047
0.6666666666666666,0.1922222222222222
0.6928104575163399,0.35046783625730993
0.6823529411764706,0.37674641148325355
0.8901960784313725,0.2205263157894737
0.6549019607843137,0.1629122807017544
0.8235294117647058,0.34421052631578947
0.47058823529411764,0.7610526315789473
