Inconsitency,Open data score
0.7058823529411765,0.19631578947368422
0.7058823529411765,0.19631578947368422
0.7647058823529411,0.20421052631578948
0.7647058823529411,0.2068421052631579
0.7647058823529411,0.19631578947368422
0.5882352941176471,0.29263157894736846
0.7647058823529411,0.19631578947368422
0.7058823529411765,0.22263157894736843
0.5294117647058824,0.31000000000000005
0.7647058823529411,0.20421052631578948
0.8823529411764706,0.20421052631578948
0.7058823529411765,0.1394736842105263
0.8823529411764706,0.17
0.9411764705882353,0.17
0.8823529411764706,0.17
0.8823529411764706,0.17
0.9411764705882353,0.17
0.9411764705882353,0.17
0.9411764705882353,0.17
0.7647058823529411,0.18736842105263157
0.8235294117647058,0.21368421052631578
0.8823529411764706,0.17
0.9411764705882353,0.17
0.9411764705882353,0.17
0.9411764705882353,0.17
0.9411764705882353,0.17
1.0,0.2131578947368421
1.0,0.2131578947368421
0.9411764705882353,0.2131578947368421
0.9411764705882353,0.2131578947368421
1.0,0.2131578947368421
1.0,0.2131578947368421
1.0,0.2131578947368421
0.9411764705882353,0.2131578947368421
1.0,0.2131578947368421
1.0,0.2131578947368421
0.9411764705882353,0.2131578947368421
0.7058823529411765,0.24368421052631578
0.7058823529411765,0.24368421052631578
0.7058823529411765,0.24368421052631578
0.7058823529411765,0.24368421052631578
0.7058823529411765,0.24368421052631578
0.7058823529411765,0.24368421052631578
0.7647058823529411,0.2136842105263158
0.7647058823529411,0.2136842105263158
0.7058823529411765,0.18736842105263157
0.7058823529411765,0.2136842105263158
0.7058823529411765,0.19631578947368422
0.7647058823529411,0.2136842105263158
0.7647058823529411,0.2136842105263158
0.5294117647058824,0.3663157894736842
0.5294117647058824,0.3663157894736842
0.5294117647058824,0.3663157894736842
0.5294117647058824,0.3663157894736842
0.5294117647058824,0.3663157894736842
0.5294117647058824,0.3663157894736842
0.5294117647058824,0.3663157894736842
0.8823529411764706,0.14736842105263157
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.14736842105263157
0.8823529411764706,0.14736842105263157
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.14736842105263157
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.14736842105263157
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.15263157894736842
0.8823529411764706,0.15263157894736842
1.0,0.21736842105263157
0.8823529411764706,0.3094736842105263
0.8823529411764706,0.3094736842105263
0.8823529411764706,0.3094736842105263
1.0,0.013157894736842105
0.8823529411764706,0.3094736842105263
0.8823529411764706,0.3094736842105263
0.8823529411764706,0.3094736842105263
0.8823529411764706,0.3094736842105263
0.6470588235294118,0.3005263157894737
0.29411764705882354,0.42000000000000004
0.6470588235294118,0.3005263157894737
0.6470588235294118,0.3005263157894737
0.29411764705882354,0.37578947368421056
0.23529411764705882,0.42000000000000004
0.6470588235294118,0.3005263157894737
0.6470588235294118,0.3005263157894737
0.6470588235294118,0.3005263157894737
0.6470588235294118,0.3005263157894737
0.6470588235294118,0.3005263157894737
0.29411764705882354,0.37578947368421056
0.6470588235294118,0.3005263157894737
0.6470588235294118,0.3005263157894737
0.6470588235294118,0.3005263157894737
0.8823529411764706,0.23157894736842108
0.8823529411764706,0.23157894736842108
0.8823529411764706,0.23157894736842108
0.8823529411764706,0.23157894736842108
0.8823529411764706,0.23157894736842108
0.5882352941176471,0.19105263157894736
0.7647058823529411,0.19105263157894736
0.7058823529411765,0.17526315789473684
0.6470588235294118,0.19105263157894736
0.6470588235294118,0.19105263157894736
0.6470588235294118,0.19105263157894736
0.6470588235294118,0.19105263157894736
0.7058823529411765,0.21736842105263157
0.6470588235294118,0.19105263157894736
0.7058823529411765,0.3494736842105263
0.7058823529411765,0.3494736842105263
0.6470588235294118,0.33631578947368423
0.7058823529411765,0.3494736842105263
0.7058823529411765,0.3494736842105263
0.7058823529411765,0.3847368421052632
0.6470588235294118,0.33631578947368423
0.7058823529411765,0.3494736842105263
0.7058823529411765,0.3494736842105263
0.6470588235294118,0.34421052631578947
0.6470588235294118,0.3178947368421053
0.5294117647058824,0.29157894736842105
0.7058823529411765,0.46684210526315784
0.6470588235294118,0.46684210526315784
0.7058823529411765,0.3178947368421053
0.7058823529411765,0.541578947368421
0.7647058823529411,0.46684210526315784
0.7647058823529411,0.42315789473684207
0.7058823529411765,0.3178947368421053
0.9411764705882353,0.013157894736842105
0.9411764705882353,0.24368421052631578
0.9411764705882353,0.24368421052631578
0.9411764705882353,0.039473684210526314
0.8235294117647058,0.28210526315789475
0.9411764705882353,0.24368421052631578
0.7647058823529411,0.22263157894736843
0.47058823529411764,0.3136842105263158
0.9411764705882353,0.24368421052631578
0.9411764705882353,0.24368421052631578
0.9411764705882353,0.24368421052631578
0.9411764705882353,0.24368421052631578
0.9411764705882353,0.24368421052631578
0.9411764705882353,0.24368421052631578
0.9411764705882353,0.24368421052631578
0.7058823529411765,0.14368421052631578
0.7058823529411765,0.14368421052631578
0.5882352941176471,0.17
0.7058823529411765,0.14368421052631578
0.6470588235294118,0.14368421052631578
0.7058823529411765,0.14368421052631578
0.7058823529411765,0.14368421052631578
0.5882352941176471,0.17
0.7058823529411765,0.14368421052631578
0.7058823529411765,0.14368421052631578
0.6470588235294118,0.14368421052631578
0.5882352941176471,0.17
0.5882352941176471,0.17
0.5882352941176471,0.17
0.6470588235294118,0.3005263157894737
0.8235294117647058,0.34421052631578947
0.47058823529411764,0.7610526315789473
